,Security Center, , , ,Result Query, ,Tier,Org User, ,x, ,x
,Security Center, ,Action Center,List History Action,Abort Action Event, ,Tier,Org User,"Đã có, cần hoàn thiện UI, UX. Một số action cần bổ sung",x, ,x
,Security Center, , , ,Execute Revert Command, ,Tier,Org User, ,x, ,x
,Security Center, , , ,Re-execute Command, ,Tier,Org User, ,x, ,x
,Security Center, , ,Execute Command Schema, , ,Tier,Org User, ,x, ,x
,Security Center,Security Management,Rule Management,List rule, , ,Tier,Org User,,x, ,x
,Security Center, , ,Create rule, , ,Tier,Org User,,x, ,x
,Security Center, , ,Edit rule, , ,Tier,Org User,,x, ,x
,Security Center, , ,Duplicate rule, , ,Tier,Org User,,x, ,x
,Security Center, , ,View detail rule, , ,Tier,Org User,,x, ,x
,Security Center, , ,Delete Rule, , ,Tier,Org User,,x, ,x
,Security Center, , ,Import rule, , ,Tier,Org User,,x, ,x
,Security Center, , ,Export rule, , ,Tier,Org User,,x, ,x
,Security Center, , ,Enable/Disable rule, , ,Tier,Org User,,x, ,x
,Security Center, , ,Xây dựng tập rule built-in, , ,Tier,Org User,Chưa phát triển,x, ,x
,Security Center, ,Context management,Create context table, , ,Tier,Org User,,x, ,x
,Security Center, , ,Import context, , ,Tier,Org User,,x, ,x
,Security Center, , ,Export context, , ,Tier,Org User,,x, ,x
,Security Center, , ,Add row, , ,Tier,Org User,,x, ,x
,Security Center, , ,Edit row, , ,Tier,Org User,,x, ,x
,Security Center, , ,Delete row, , ,Tier,Org User,,x, ,x
,Security Center, , ,Feed data from TI, , ,Tier,Org User,Chưa phát triển,x, ,x
,Security Center, ,MITRE ATT&CK,Dashboard Coverange, , ,Tier,Org User,,x, ,x
,Security Center, ,Policy,Add Policy, , ,Tier,Org User, ,x,x,x
,Security Center, , ,Edit Policy, , ,Tier,Org User, ,x,x,x
,Security Center, , ,Duplicate Policy, , ,Tier,Org User, ,x,x,x
,Security Center, , ,Delete Policy, , ,Tier,Org User, ,x,x,x
,Security Center, , ,Malware Scan, , ,Tier,Org User, ,x,x,x
,Security Center, , ,Device Control, , ,Tier,Org User, ,x,x,x
,Security Center, , ,Application Control, , ,Tier,Org User, ,x,x,x
,Security Center, , ,Folder Access, , ,Tier,Org User,Cần đánh giá lại,x,x,x
,Security Center, , ,Network Protection, , ,Tier,Org User, ,x,x,x
,Security Center,Report,Report Template,Report EPP Default, , ,Tier,Org User,, ,x, 
,Security Center, , ,List Report Template, , ,Tier,Org User,Chưa phát triển,x,x,x
,Security Center, , ,Create Report Template, , ,Tier,Org User,Chưa phát triển,x,x,x
,Security Center, , ,Edit Report Template, , ,Tier,Org User,Chưa phát triển,x,x,x
,Security Center, , ,Duplicate Report Template, , ,Tier,Org User,Chưa phát triển,x,x,x
,Security Center, , ,Preview Report Template, , ,Tier,Org User,Chưa phát triển,x,x,x
,Security Center, , ,Delete Report Template, , ,Tier,Org User,Chưa phát triển,x,x,x
,Security Center, ,Report,List Report, , ,Tier,Org User,Chưa phát triển,x,x,x
,Security Center, , ,Create Report, , ,Tier,Org User,Chưa phát triển,x,x,x
,Security Center, , ,Edit Report, , ,Tier,Org User,Chưa phát triển,x,x,x
,Security Center, , ,Duplicate, , ,Tier,Org User,Chưa phát triển,x,x,x
,Security Center, , ,View Report, , ,Tier,Org User,Chưa phát triển,x,x,x
,Security Center, , ,Delete Report, , ,Tier,Org User,Chưa phát triển,x,x,x
,Security Center, , ,Share Report via Email, , ,Tier,Org User,Chưa phát triển,x,x,x
,Security Center, , ,"Export Report to Excel, Word, PDF", , ,Tier,Org User,Chưa phát triển,x,x,x
,Security Center,Tenant & Org,Tenant and License Tenant,Tạo Tenant, , ,Default,System User,,Default,Default,Default
,Security Center, , ,Cập nhật Tenant, , ,Default,System User,Chưa phát triển,Default,Default,Default
,Security Center, , ,Xem danh sách Tenant, , ,Default,System User,,Default,Default,Default
,Security Center, , ,Xem chi tiết Tenant, , ,Default,System User,,Default,Default,Default
,Security Center, , ,Active/Deactivate Tenant, , ,Default,System User,Chưa phát triển,Default,Default,Default
,Security Center, , ,Kích hoạt/Vô hiệu hóa Tenant Admin, , ,Default,System User,Chưa phát triển,Default,Default,Default
,Security Center, , ,Quản lý Tenant User, , ,Default,System User,Chưa phát triển,Default,Default,Default
,Security Center, , ,Quản lý License Tenant, , ,Default,System User,Chưa phát triển,Default,Default,Default
,Security Center,,,Kích hoạt License Tenant,,,Default,System User,,Default,Default,Default
,Security Center, , ,Gia hạn License Tenant, , ,Default,System User,Chưa phát triển,Default,Default,Default
,Security Center, , ,Upgrade/Downgrade License Tenant, , ,Default,System User,Chưa phát triển,Default,Default,Default
,Security Center, , ,Theo dõi hết hạn license, , ,Default,Default,Chưa phát triển,Default,Default,Default
,Security Center, , ,Xử lý hết hạn license, , ,Default,Default,Chưa phát triển,Default,Default,Default
,Security Center, ,Org and License Org,Tạo Org, , ,Default,Tenant User,,Default,Default,Default
,Security Center, , ,Cập nhật Org, , ,Default,Tenant User,Chưa phát triển,Default,Default,Default
,Security Center, , ,Xem danh sách Org, , ,Default,Tenant User,,Default,Default,Default
